fuente,nit,nit-razon social,Sector,ut,ventas
,800026914,800026914 - Ehr Sas,"F4322 - Instalaciones de fontanería, calefacción y aire acondicionado",,8418
,800026989,800026989 - Domingo Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",,3950
,800026992,800026992 - Cadale Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1184
,800027063,800027063 - Grupo Editorial Ecoe Ediciones S.A.S.,J5811 - Edición de libros,,3258
,800027072,800027072 - Biodiagnosticos Sociedad Por Acciones Simplificada,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",,7479
,800027085,800027085 - Abrigar Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1320
,800027239,800027239 - Rogelio Salmona S.A.,M7111 - Actividades de arquitectura,,89
,800027293,800027293 - Inversiones Maraiba S.A.S.,A0122 - Cultivo de plátano y banano,,6899
,800027362,800027362 - Andina De Iluminaciones S.A.,C3314 - Mantenimiento y reparación especializado de equipo eléctrico,,3797
,800027656,800027656 - Textiles Acrilan Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",,49973
,800027664,800027664 - Icopel Sas En Reorganizacion,G4669 - Comercio al por mayor de otros productos n.c.p.,,9893
,800027737,800027737 - Inversiones Del Altiplano Sas,F4111 - Construcción de edificios residenciales,,50
,800027927,800027927 - Lineadatascan Sa,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",,80777
