PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
prospectos,832008464,832008464 - Compañia Lechera De El Mortiño Sas,C1040 - Elaboración de productos lácteos,100,$520861,$130215,$57254,$36435,$70526
prospectos,860001619,860001619 - Ave Colombiana Sas,C2712 - Fabricación de aparatos de distribución y control de la energía eléctrica,100,$89869,$22467,$20903,$1,$78049
prospectos,860509701,860509701 - Alalco Sociedad S.A.S.,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",100,$46515,$11629,$10266,$186,$56828
prospectos,860511541,860511541 - Comestibles Alfa Sas,G4631 - Comercio al por mayor de productos alimenticios,100,$322284,$64457,$97987,$104751,$85552
prospectos,860512596,860512596 - Asequimicos Sas,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",100,$126108,$31527,$44359,$41408,$48583
prospectos,890200050,890200050 - Ardisa Sa,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",100,$444944,$111236,$100531,$42768,$131931
prospectos,890200408,890200408 - Gavassa Y Cia Ltda,"C1083 - Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",100,$346581,$86645,$71664,$79977,$79398
prospectos,890201201,890201201 - Otacc S.A.S.,F4290 - Construcción de otras obras de ingeniería civil,100,$956742,$191348,$115637,,$408719
prospectos,890201311,890201311 - Len Importaciones Sas,G4690 - Comercio al por mayor no especializado,100,$782228,$156446,$186464,$334579,$501535
prospectos,890204199,890204199 - Avimol S.A.S.,C1051 - Elaboración de productos de molinería,100,$816469,$204117,$131153,$122271,$325990
prospectos,890204220,890204220 - Gonzalez Bohorquez Sas,F4111 - Construcción de edificios residenciales,100,$12086,$3022,$555,$28085,$81424
prospectos,890204448,890204448 - Industrias Tanuzi Sa,"C2825 - Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",100,$26236,$6559,$7088,$4101,$15977
prospectos,890205091,890205091 - Precocidos Del Oriente S.A.S,C1051 - Elaboración de productos de molinería,100,$921010,$230252,$191991,$380091,$260170
prospectos,890212855,890212855 - Andes Constructora Sas,F4111 - Construcción de edificios residenciales,100,$14279,$3570,$8900,$68,$478770
prospectos,900086521,900086521 - Mountain Food Sas,"C1082 - Elaboración de cacao, chocolate y productos de confitería",100,$102448,$25612,$41199,$11294,$43826
prospectos,900104517,900104517 - Bio D S.A. Usuario Operador De Zona Franca,C2029 - Fabricación de otros productos químicos n.c.p.,100,$5208396,$1041679,$470562,$261585,$1122948
prospectos,900119072,900119072 - Supermercados Mas Por Menos Sas,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",100,$998922,$249730,$219822,$165180,$178988
prospectos,900126199,900126199 - Valores Inmobiliarios Hg Sa,L6820 - Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,100,$9618,$2404,$0,,$351697
prospectos,900193076,900193076 - Kluane Colombia Sas,B0990 - Actividades de apoyo para otras actividades de explotación de minas y canteras,100,$242912,$48582,$68573,$465,$166396
prospectos,900368076,900368076 - Envases Plasticos De La Sabana S.A.S,C2229 - Fabricación de artículos de plástico n.c.p.,100,$205524,$41105,$52990,$1207,$123417
prospectos,900369142,900369142 - Iwin S.A.S,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",100,$16585,$4146,$11668,$1304,$33649
